pid,category,brand,color,quality,price
159,Laptop,Apple,midnight,0.8,1075
160,Laptop,Apple,starlight,0.75,1025
161,Laptop,Apple,midnight,0.7,975
162,Laptop,Apple,grey,0.75,1125
163,Laptop,Apple,grey,0.9,1275
164,Laptop,Apple,starlight,0.8,1175
165,Laptop,Apple,midnight,0.7,1025
166,Laptop,Apple,silver,0.95,1375
167,Laptop,Apple,midnight,0.7,975
168,Laptop,Apple,silver,0.85,1275
169,Laptop,Apple,midnight,0.7,1025
170,Laptop,Apple,starlight,0.8,1075
171,Laptop,Apple,silver,0.7,975
172,Laptop,Apple,grey,0.75,1025
173,Laptop,Apple,midnight,0.75,1025
174,Laptop,Apple,midnight,0.9,1275
175,Laptop,Apple,silver,0.95,1375
176,Laptop,Apple,midnight,0.85,1275
177,Laptop,Apple,silver,0.75,1075
178,Laptop,Apple,silver,0.85,1125
179,Laptop,Apple,starlight,0.9,1325
180,Laptop,Apple,midnight,0.8,1175
181,Laptop,Apple,silver,0.95,1325
182,Laptop,Apple,midnight,0.7,925
183,Laptop,Apple,midnight,0.8,1075
184,Laptop,Apple,starlight,0.75,1125
185,Laptop,Apple,grey,0.95,1375
186,Laptop,Apple,starlight,0.9,1175
187,Laptop,Apple,silver,0.9,1275
188,Laptop,Apple,midnight,0.85,1125
189,Laptop,Apple,grey,0.95,1325
190,Laptop,Apple,grey,0.7,1025
191,Laptop,Apple,grey,0.7,1025
192,Laptop,Apple,starlight,0.85,1175
193,Laptop,Apple,midnight,0.85,1175
194,Laptop,Apple,starlight,0.95,1325
195,Laptop,Apple,silver,0.8,1125
196,Laptop,Apple,grey,0.8,1075
197,Laptop,Apple,grey,0.95,1225
198,Laptop,Apple,starlight,0.75,975
199,Laptop,Apple,starlight,0.7,1025
200,Laptop,Apple,grey,0.95,1375
201,Laptop,Apple,silver,0.8,1025
202,Laptop,Apple,starlight,0.7,1025
203,Laptop,Apple,midnight,0.85,1175
204,Laptop,Apple,grey,0.95,1375
205,Laptop,Apple,starlight,0.8,1175
206,Laptop,Apple,midnight,0.9,1225
207,Laptop,Apple,grey,0.95,1425
208,Laptop,Apple,starlight,0.8,1175
209,Laptop,Apple,silver,0.9,1325
210,Laptop,Apple,midnight,0.7,925
211,Laptop,Apple,starlight,0.7,1025
212,Laptop,Apple,grey,0.95,1325
213,Laptop,Apple,silver,0.85,1175
214,Laptop,Apple,silver,0.8,1075
215,Laptop,Apple,grey,0.95,1275
216,Laptop,Apple,midnight,0.7,975
217,Laptop,Apple,starlight,0.85,1225
218,Laptop,Apple,starlight,0.8,1075
219,Laptop,Apple,silver,0.9,1175
220,Laptop,Apple,grey,0.7,1025
221,Laptop,Apple,starlight,0.75,975
222,Laptop,Apple,midnight,0.95,1375
223,Laptop,Apple,silver,0.75,1025
224,Laptop,Apple,grey,0.95,1425
225,Laptop,Apple,silver,0.85,1225
226,Laptop,Apple,starlight,0.7,1025
227,Laptop,Apple,midnight,0.7,925
228,Laptop,Apple,grey,0.75,1075
229,Laptop,Apple,starlight,0.7,975
230,Laptop,Apple,midnight,0.7,975
231,Laptop,Apple,silver,0.8,1175
232,Laptop,Apple,starlight,0.7,975
233,Laptop,Apple,starlight,0.8,1175
234,Laptop,Apple,starlight,0.7,975
235,Laptop,Apple,grey,0.8,1075
236,Laptop,Apple,midnight,0.75,1025
237,Laptop,Apple,midnight,0.85,1225
238,Laptop,Apple,grey,0.8,1075
239,Laptop,Apple,grey,0.75,1125
240,Laptop,Apple,starlight,0.7,1025
241,Laptop,Apple,starlight,0.75,1025
242,Laptop,Apple,starlight,0.9,1275
243,Laptop,Apple,midnight,0.75,1075
244,Laptop,Apple,midnight,0.7,1025
245,Laptop,Apple,silver,0.85,1225
246,Laptop,Apple,grey,0.85,1125
247,Laptop,Apple,starlight,0.85,1125
248,Laptop,Apple,starlight,0.95,1275
249,Laptop,Apple,midnight,0.7,1025
250,Laptop,Apple,grey,0.75,1025
251,Laptop,Apple,starlight,0.75,1125
252,Laptop,Apple,silver,0.7,975
253,Laptop,Apple,starlight,0.9,1325
254,Laptop,Apple,midnight,0.9,1225
255,Laptop,Apple,silver,0.85,1175
256,Laptop,Apple,starlight,0.85,1225
257,Laptop,Apple,starlight,0.75,1025
258,Laptop,Apple,grey,0.95,1425
259,Laptop,Apple,grey,0.75,1075
260,Laptop,Apple,silver,0.7,925
261,Laptop,Apple,starlight,0.7,925
262,Laptop,Apple,grey,0.95,1275
263,Laptop,Apple,starlight,0.8,1125
264,Laptop,Apple,silver,0.8,1125
265,Laptop,Apple,silver,0.9,1225
266,Laptop,Apple,starlight,0.8,1075
267,Laptop,Apple,silver,0.9,1225
268,Laptop,Apple,silver,0.7,925
269,Laptop,Apple,midnight,0.7,975
270,Laptop,Apple,starlight,0.75,1025
271,Laptop,Apple,grey,0.95,1325
272,Laptop,Apple,starlight,0.9,1225
273,Laptop,Apple,starlight,0.75,975
274,Laptop,Apple,silver,0.85,1225
275,Laptop,Apple,silver,0.8,1175
276,Laptop,Apple,silver,0.7,1025
277,Laptop,Apple,grey,0.8,1175
278,Laptop,Apple,midnight,0.75,1125
279,Laptop,Apple,grey,0.7,925
280,Laptop,Apple,silver,0.8,1175
281,Laptop,Apple,starlight,0.75,1075
282,Laptop,Apple,grey,0.7,1025
283,Laptop,Apple,midnight,0.8,1025
284,Laptop,Apple,midnight,0.8,1025
285,Laptop,Apple,starlight,0.85,1225
286,Laptop,Apple,starlight,0.95,1275
287,Laptop,Apple,midnight,0.85,1125
288,Laptop,Apple,grey,0.9,1275
289,Laptop,Apple,starlight,0.8,1075
290,Laptop,Apple,silver,0.85,1175
291,Laptop,Apple,starlight,0.75,1025
292,Laptop,Apple,midnight,0.95,1325
293,Laptop,Apple,midnight,0.85,1275
294,Laptop,Apple,midnight,0.95,1375
295,Laptop,Apple,midnight,0.85,1125
296,Laptop,Apple,starlight,0.95,1275
297,Laptop,Apple,midnight,0.85,1225
298,Laptop,Apple,midnight,0.9,1275
299,Laptop,Apple,grey,0.95,1275
300,Laptop,Apple,midnight,0.95,1325
301,Laptop,Apple,starlight,0.95,1375
302,Laptop,Apple,starlight,0.75,1025
303,Laptop,Apple,starlight,0.7,975
304,Laptop,Apple,silver,0.75,1075
305,Laptop,Apple,midnight,0.9,1225
306,Laptop,Apple,starlight,0.85,1225
307,Laptop,Apple,silver,0.85,1225
308,Laptop,Apple,silver,0.8,1025
309,Laptop,Apple,starlight,0.9,1325
310,Laptop,Apple,silver,0.9,1175
311,Laptop,Apple,grey,0.9,1275
312,Laptop,Apple,silver,0.8,1075
313,Laptop,Apple,grey,0.9,1325
314,Laptop,Apple,silver,0.85,1275
315,Laptop,Apple,silver,0.8,1175
316,Laptop,Apple,midnight,0.8,1175
317,Laptop,Apple,grey,0.95,1275
318,Laptop,Apple,midnight,0.95,1325
319,Laptop,Apple,grey,0.95,1425
320,Laptop,Apple,grey,0.85,1225
321,Laptop,Asus,grey,0.9,675
322,Laptop,Asus,black,0.45,325
323,Laptop,Asus,grey,0.95,875
324,Laptop,Asus,grey,0.5,325
325,Laptop,Asus,black,0.4,425
326,Laptop,Asus,grey,0.45,475
327,Laptop,Asus,grey,0.6,425
328,Laptop,Asus,black,0.8,625
329,Laptop,Asus,grey,0.6,575
330,Laptop,Asus,black,0.65,725
331,Laptop,Asus,grey,0.45,425
332,Laptop,Asus,black,0.6,675
333,Laptop,Asus,grey,0.65,625
334,Laptop,Asus,black,0.45,325
335,Laptop,Asus,black,0.65,625
336,Laptop,Asus,black,0.5,475
337,Laptop,Asus,grey,0.75,575
338,Laptop,Asus,black,0.85,775
339,Laptop,Asus,grey,0.5,525
340,Laptop,Asus,black,0.9,975
341,Laptop,Asus,black,0.9,875
342,Laptop,Asus,grey,0.4,425
343,Laptop,Asus,black,0.8,825
344,Laptop,Asus,black,0.95,625
345,Laptop,Asus,grey,0.85,925
346,Laptop,Asus,grey,0.45,275
347,Laptop,Asus,black,0.75,525
348,Laptop,Asus,grey,0.9,975
349,Laptop,Asus,black,0.85,825
350,Laptop,Asus,grey,0.45,375
351,Laptop,Asus,black,0.5,425
352,Laptop,Asus,black,0.65,475
353,Laptop,Asus,black,0.5,525
354,Laptop,Asus,grey,0.7,475
355,Laptop,Asus,black,0.6,575
356,Laptop,Asus,black,0.85,825
357,Laptop,Asus,black,0.6,525
358,Laptop,Asus,grey,0.4,225
359,Laptop,Asus,black,0.45,325
360,Laptop,Asus,grey,0.4,325
361,Laptop,Asus,grey,0.65,475
362,Laptop,Asus,black,0.65,525
363,Laptop,Asus,grey,0.9,975
364,Laptop,Asus,black,0.95,875
365,Laptop,Asus,black,0.85,625
366,Laptop,Asus,black,0.55,575
367,Laptop,Asus,grey,0.5,375
368,Laptop,Asus,grey,0.7,775
369,Laptop,Asus,grey,0.75,675
370,Laptop,Asus,black,0.7,425
371,Laptop,Asus,black,0.6,625
372,Laptop,Asus,grey,0.45,425
373,Laptop,Asus,grey,0.95,625
374,Laptop,Asus,black,0.8,775
375,Laptop,Asus,black,0.7,675
376,Laptop,Asus,black,0.55,375
377,Laptop,Asus,black,0.95,975
378,Laptop,Asus,black,0.8,625
379,Laptop,Asus,black,0.45,275
380,Laptop,Asus,grey,0.5,525
381,Laptop,Asus,black,0.45,375
382,Laptop,Asus,black,0.7,575
383,Laptop,Asus,grey,0.45,475
384,Laptop,Asus,black,0.8,675
385,Laptop,Asus,black,0.85,825
386,Laptop,Asus,black,0.45,325
387,Laptop,Asus,grey,0.7,525
388,Laptop,Asus,black,0.4,425
389,Laptop,Asus,grey,0.4,375
390,Laptop,Asus,grey,0.45,325
391,Laptop,Asus,black,0.45,375
392,Laptop,Asus,grey,0.65,625
393,Laptop,Asus,grey,0.95,575
394,Laptop,Asus,black,0.4,425
395,Laptop,Asus,grey,0.65,675
396,Laptop,Asus,black,0.4,325
397,Laptop,Asus,grey,0.85,625
398,Laptop,Asus,black,0.55,375
399,Laptop,Asus,black,0.75,525
400,Laptop,Asus,black,0.55,575
401,Laptop,Asus,black,0.75,575
402,Laptop,Asus,grey,0.8,825
403,Laptop,Asus,black,0.75,475
404,Laptop,Asus,grey,0.85,875
405,Laptop,Asus,grey,0.55,375
406,Laptop,Asus,grey,0.4,425
407,Laptop,Asus,grey,0.85,925
408,Laptop,Asus,grey,0.65,675
409,Laptop,Asus,grey,0.5,325
410,Laptop,Asus,black,0.65,375
411,Laptop,Asus,grey,0.9,975
412,Laptop,Asus,grey,0.6,575
413,Laptop,Asus,black,0.9,825
414,Laptop,Asus,grey,0.65,675
415,Laptop,Asus,grey,0.65,425
416,Laptop,Asus,black,0.95,675
417,Laptop,Asus,grey,0.55,375
418,Laptop,Asus,grey,0.4,325
419,Laptop,Asus,black,0.6,475
420,Laptop,Asus,grey,0.4,225
421,Laptop,Asus,black,0.4,275
422,Laptop,Asus,grey,0.85,875
423,Laptop,Asus,black,0.6,525
424,Laptop,Asus,black,0.8,775
425,Laptop,Asus,black,0.4,275
426,Laptop,Asus,black,0.5,425
427,Laptop,Asus,grey,0.65,525
428,Laptop,Asus,grey,0.6,575
429,Laptop,Asus,grey,0.55,525
430,Laptop,Asus,black,0.65,675
431,Laptop,Asus,black,0.9,775
432,Laptop,Asus,grey,0.85,625
433,Laptop,Asus,grey,0.85,625
434,Laptop,Asus,black,0.9,875
435,Laptop,Asus,black,0.9,925
436,Laptop,Asus,grey,0.8,825
437,Laptop,Asus,grey,0.55,575
438,Laptop,Asus,grey,0.85,875
439,Laptop,Asus,black,0.4,375
440,Laptop,Asus,black,0.6,475
441,Laptop,Asus,black,0.95,675
442,Laptop,Asus,black,0.95,675
443,Laptop,Asus,grey,0.5,525
444,Laptop,Asus,black,0.75,725
445,Laptop,Asus,black,0.75,475
446,Laptop,Asus,black,0.8,525
447,Laptop,Asus,grey,0.8,575
448,Laptop,Asus,black,0.95,625
449,Laptop,Asus,grey,0.9,725
450,Laptop,Asus,black,0.8,825
451,Laptop,Asus,grey,0.5,325
452,Laptop,Asus,grey,0.85,725
453,Laptop,Asus,grey,0.6,675
454,Laptop,Asus,grey,0.75,475
455,Laptop,Asus,black,0.75,475
456,Laptop,Asus,black,0.8,625
457,Laptop,Asus,black,0.9,725
458,Laptop,Asus,black,0.85,525
459,Laptop,Asus,grey,0.4,375
460,Laptop,Asus,grey,0.55,375
461,Laptop,Asus,grey,0.5,425
462,Laptop,Asus,grey,0.7,475
463,Laptop,Asus,black,0.5,375
464,Laptop,Asus,black,0.6,625
465,Laptop,Asus,black,0.6,425
466,Laptop,Asus,black,0.7,425
467,Laptop,Asus,black,0.9,675
468,Laptop,Asus,black,0.95,725
469,Laptop,Asus,black,0.9,775
470,Laptop,Asus,black,0.6,425
471,Laptop,Asus,grey,0.45,375
472,Laptop,Asus,grey,0.65,425
473,Laptop,Asus,grey,0.9,975
474,Laptop,Asus,black,0.7,475
475,Laptop,Asus,black,0.45,375
476,Laptop,Asus,grey,0.4,375
477,Laptop,Asus,grey,0.65,525
478,Laptop,Asus,black,0.95,825
479,Laptop,Asus,grey,0.4,275
480,Laptop,Asus,black,0.5,475
481,Laptop,Asus,black,0.8,525
482,Laptop,Asus,grey,0.75,675
483,Laptop,Asus,grey,0.45,475
484,Laptop,Asus,grey,0.45,475
485,Laptop,Asus,grey,0.85,875
486,Laptop,Asus,black,0.95,625
487,Laptop,Asus,black,0.65,675
488,Laptop,Asus,grey,0.45,475
489,Laptop,Asus,black,0.4,225
490,Laptop,Asus,black,0.95,725
491,Laptop,Asus,grey,0.85,825
492,Laptop,Asus,grey,0.95,625
493,Laptop,Asus,grey,0.9,575
494,Laptop,Asus,black,0.6,475
495,Laptop,Asus,black,0.75,575
496,Laptop,Asus,grey,0.6,525
497,Laptop,Asus,black,0.5,425
498,Laptop,Asus,black,0.7,525
499,Laptop,Asus,grey,0.95,775
500,Laptop,Asus,black,0.55,575
501,Laptop,Asus,black,0.5,525
502,Laptop,Asus,grey,0.5,525
503,Laptop,Asus,grey,0.9,875
504,Laptop,Asus,black,0.95,725
505,Laptop,Asus,grey,0.75,675
506,Laptop,Asus,grey,0.65,475
507,Laptop,Asus,black,0.7,775
508,Laptop,Asus,grey,0.55,575
509,Laptop,Asus,grey,0.4,225
510,Laptop,Asus,grey,0.6,425
511,Laptop,Asus,black,0.4,275
512,Laptop,Asus,black,0.95,975
513,Laptop,Asus,black,0.65,575
514,Laptop,Asus,black,0.65,525
515,Laptop,Asus,grey,0.55,525
516,Laptop,Asus,grey,0.9,525
517,Laptop,Asus,black,0.9,975
518,Laptop,Asus,black,0.95,975
519,Laptop,Asus,grey,0.65,625
520,Laptop,Asus,grey,0.9,875
521,Laptop,Asus,grey,0.75,575
522,Laptop,Asus,grey,0.8,575
523,Laptop,Asus,black,0.65,675
524,Laptop,Asus,black,0.65,625
525,Laptop,Asus,black,0.85,725
526,Laptop,Asus,grey,0.75,525
527,Laptop,Asus,grey,0.8,825
528,Laptop,Asus,grey,0.8,825
529,Laptop,Asus,black,0.4,375
530,Laptop,Asus,black,0.7,675
531,Laptop,Asus,black,0.8,525
532,Laptop,Asus,grey,0.4,275
533,Laptop,Asus,grey,0.55,525
534,Laptop,Asus,black,0.9,775
535,Laptop,Asus,black,0.45,325
536,Laptop,Asus,black,0.5,475
537,Laptop,Asus,grey,0.5,475
538,Laptop,Asus,grey,0.95,725
539,Laptop,Asus,grey,0.4,375
540,Laptop,Asus,black,0.85,825
541,Laptop,Asus,black,0.5,375
542,Laptop,Asus,grey,0.5,425
543,Laptop,Asus,black,0.4,325
544,Laptop,Asus,grey,0.55,475
545,Laptop,Asus,black,0.6,475
546,Laptop,Asus,black,0.6,375
547,Laptop,Asus,black,0.9,775
548,Laptop,Asus,black,0.75,625
549,Laptop,Asus,grey,0.9,675
550,Laptop,Asus,grey,0.75,575
551,Laptop,Asus,grey,0.75,775
552,Laptop,Asus,black,0.75,475
553,Laptop,Asus,black,0.8,725
554,Laptop,Asus,grey,0.4,375
555,Laptop,Asus,grey,0.6,375
556,Laptop,Asus,black,0.45,275
557,Laptop,Asus,grey,0.6,625
558,Laptop,Asus,black,0.45,275
559,Laptop,Asus,black,0.5,325
560,Laptop,Asus,grey,0.7,675
561,Laptop,Asus,black,0.7,425
562,Laptop,Asus,grey,0.45,425
563,Laptop,Asus,grey,0.4,275
564,Laptop,Asus,black,0.8,875
565,Laptop,Asus,black,0.6,525
566,Laptop,Asus,black,0.4,275
567,Laptop,Asus,black,0.45,475
568,Laptop,Asus,black,0.65,675
569,Laptop,Asus,black,0.85,875
570,Laptop,Asus,black,0.55,375
571,Laptop,Asus,grey,0.9,675
572,Laptop,Asus,black,0.95,625
573,Laptop,Asus,grey,0.65,725
574,Laptop,Asus,grey,0.6,375
575,Laptop,Asus,grey,0.95,925
576,Laptop,Asus,black,0.75,475
577,Laptop,Asus,black,0.75,775
578,Laptop,Vaio,black,0.85,525
579,Laptop,Vaio,black,0.55,425
580,Laptop,Vaio,black,0.4,225
581,Laptop,Vaio,grey,0.7,675
582,Laptop,Vaio,black,0.55,475
583,Laptop,Vaio,grey,0.5,375
584,Laptop,Vaio,black,0.95,575
585,Laptop,Vaio,grey,0.85,975
586,Laptop,Vaio,grey,0.95,675
587,Laptop,Vaio,black,0.8,625
588,Laptop,Vaio,grey,0.45,625
589,Laptop,Vaio,grey,0.45,375
590,Laptop,Vaio,grey,0.55,625
591,Laptop,Vaio,grey,0.9,975
592,Laptop,Vaio,grey,0.45,625
593,Laptop,Vaio,black,0.6,625
594,Laptop,Vaio,black,0.75,675
595,Laptop,Vaio,black,0.4,525
596,Laptop,Vaio,grey,0.45,525
597,Laptop,Vaio,black,0.9,1025
598,Laptop,Vaio,grey,0.45,575
599,Laptop,Vaio,black,0.7,975
600,Laptop,Vaio,black,0.9,725
601,Laptop,Vaio,black,0.95,675
602,Laptop,Vaio,black,0.95,875
603,Laptop,Vaio,grey,0.4,475
604,Laptop,Vaio,grey,0.5,625
605,Laptop,Vaio,black,0.7,725
606,Laptop,Vaio,grey,0.4,525
607,Laptop,Vaio,grey,0.65,725
608,Laptop,Vaio,black,0.75,825
609,Laptop,Vaio,black,0.75,875
610,Laptop,Vaio,black,0.6,525
611,Laptop,Vaio,grey,0.65,475
612,Laptop,Vaio,grey,0.95,1325
613,Laptop,Vaio,black,0.7,875
614,Laptop,Vaio,black,0.85,1025
615,Laptop,Vaio,black,0.4,425
616,Laptop,Vaio,grey,0.7,725
617,Laptop,Vaio,grey,0.6,775
618,Laptop,Vaio,black,0.75,725
619,Laptop,Vaio,grey,0.95,575
620,Laptop,Vaio,black,0.55,675
621,Laptop,Vaio,grey,0.45,425
622,Laptop,Vaio,grey,0.8,1025
623,Laptop,Vaio,black,0.5,525
624,Laptop,Vaio,grey,0.85,925
625,Laptop,Vaio,black,0.8,575
626,Laptop,Vaio,grey,0.8,925
627,Laptop,Vaio,grey,0.65,625
628,Laptop,Vaio,grey,0.4,225
629,Laptop,Vaio,grey,0.9,625
630,Laptop,Vaio,black,0.95,775
631,Laptop,Vaio,grey,0.45,575
632,Laptop,Vaio,grey,0.75,575
633,Laptop,Vaio,grey,0.75,625
634,Laptop,Vaio,black,0.75,925
635,Laptop,Vaio,black,0.45,575
636,Laptop,Vaio,grey,0.95,1025
637,Laptop,Vaio,black,0.7,725
638,Laptop,Vaio,grey,0.85,625
639,Laptop,Vaio,black,0.6,625
640,Laptop,Vaio,grey,0.45,375
641,Laptop,Vaio,black,0.45,525
642,Laptop,Vaio,black,0.75,725
643,Laptop,Vaio,black,0.45,575
644,Laptop,Vaio,black,0.5,425
645,Laptop,Vaio,black,0.75,925
646,Laptop,Vaio,black,0.55,625
647,Laptop,Vaio,black,0.65,625
648,Laptop,Vaio,grey,0.65,775
649,Laptop,Vaio,grey,0.4,325
650,Laptop,Vaio,grey,0.5,675
651,Laptop,Vaio,black,0.8,975
652,Laptop,Vaio,black,0.6,725
653,Laptop,Vaio,black,0.55,575
654,Laptop,Vaio,grey,0.6,625
655,Laptop,Vaio,grey,0.7,625
656,Laptop,Vaio,black,0.4,425
657,Laptop,Vaio,black,0.55,675
658,Laptop,Vaio,grey,0.5,575
659,Laptop,Vaio,grey,0.45,475
660,Laptop,Vaio,grey,0.95,1025
661,Laptop,Vaio,grey,0.8,1125
662,Laptop,Vaio,grey,0.55,725
663,Laptop,Vaio,black,0.4,425
664,Laptop,Vaio,grey,0.85,1125
665,Laptop,Vaio,grey,0.65,825
666,Laptop,Vaio,black,0.75,675
667,Laptop,Vaio,black,0.75,625
668,Laptop,Vaio,grey,0.6,725
669,Laptop,Vaio,grey,0.8,975
670,Laptop,Vaio,grey,0.85,1075
671,Laptop,Vaio,black,0.55,575
672,Laptop,Vaio,black,0.55,625
673,Laptop,Vaio,grey,0.6,375
674,Laptop,Vaio,grey,0.55,575
675,Laptop,Vaio,black,0.55,475
676,Laptop,Vaio,grey,0.9,875
677,Laptop,Vaio,grey,0.9,1125
678,Laptop,Vaio,grey,0.45,475
